State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Others_Religions,ST,SC,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_ratio,Literate_Ratio,Working_Ratio,Age_Below_50,Age_Above_50
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,655052,13475,6315,325560,44225,16547,28195,1192,953.41,61.65,46.17,88.01,11.96
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,1198401,64526,46,102871,58876,76292,136685,8817,960.78,66.69,42.26,85.88,14.08
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,347878,579929,103,231570,45094,21455,78641,1364,964.15,55.9,35.96,88.31,11.65
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,917426,90312,1347,111765,62298,40889,82345,3073,964.22,67.65,44.98,86.07,13.89
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,251194,397653,636,691,70659,11035,44143,1211,951.21,61.79,32.5,87.39,12.57
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,1008219,54684,578,139971,88665,71639,122063,5651,961.65,72.78,45.65,84.27,15.66
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,877495,601784,55,182038,107827,70272,122191,3109,949.41,65.59,41.45,85.93,14.02
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,766000,20290,3568,538738,44961,18763,53918,1923,950.99,58.27,40.1,89.13,10.78
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,521962,692489,110,1940,157890,28261,70951,1933,963.18,64.73,32.49,86.61,13.35
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,529068,252271,123,278665,29570,15089,41373,1218,958.78,55.16,38.45,87.63,12.28
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,797130,193476,2410,249426,81840,32104,60296,1948,967.51,65.59,41.26,87.15,12.82
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1225246,1563203,61,115153,266350,89206,195631,5121,962.16,60.58,34.71,86.99,12.97
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,491582,277488,9,23364,60216,37849,68313,1631,948.55,68.91,34.68,84.67,15.27
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,1422824,350536,221,232207,109130,70047,133368,4358,955.59,57.61,40.05,86.34,13.6
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,1181347,48373,395,82066,37688,70471,161718,5135,952.17,60.12,41.96,86.75,13.21
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1593525,1207442,63,38848,382654,17004,43290,2561,921.35,42.53,38.05,88.38,11.53
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2291133,237353,19,1033,612064,24106,44456,2362,926.22,57.71,32.98,86.28,13.42
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,2545438,786677,1005,143366,539368,246324,589477,23258,923.27,67.65,42.55,84.34,15.45
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2291133,237353,19,1033,612064,24106,44456,2362,926.22,57.71,32.98,86.28,13.42
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,2545438,786677,1005,143366,539368,246324,589477,23258,923.27,67.65,42.55,84.34,15.45
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1772655,250925,1035,90432,247858,15459,62359,1704,906.74,47.44,37.9,86.17,13.7
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,2554330,407348,57,1597,432270,49493,120373,4644,894.89,52.13,31.58,87.41,12.46
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,2487866,537098,32,67180,318569,63241,174534,6764,880.2,51.78,32.38,86.5,13.09
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,2518216,197819,48,13977,425402,45763,62153,3661,907.47,58.61,30.15,85.6,14.2
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1591454,105423,57,26824,251737,27362,46760,1784,921.62,58.01,31.55,84.98,14.89
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,3042729,881476,101,2772,615688,59510,127442,6280,911.4,46.14,31.08,86.39,13.44
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,3876395,488121,108,3098,1334351,57738,112617,6856,937.48,52.32,37.89,85.32,12.24
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,2119262,436057,28,60807,320064,31193,69375,3707,1021.05,53.98,28.42,85.44,14.47
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1525746,217621,3438,78793,302649,12984,32633,1839,921.71,48.77,41.33,86.8,12.9
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1045117,75742,58,1285,222974,15507,27641,1106,921.7,55.0,32.47,86.09,13.78
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1684589,1365645,2141,179971,263100,32570,60900,2941,918.88,41.69,33.0,88.39,11.51
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1486989,175588,115,675,247161,15401,40641,1580,886.07,46.08,33.64,88.2,11.75
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,531236,1149095,28,64224,113118,11715,58718,1093,949.78,44.08,31.3,88.78,11.15
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,956396,40886,52,8333,153209,12938,44491,1186,901.63,50.68,32.63,86.87,13.05
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1753829,241760,81,12532,346275,12302,23236,1397,910.88,41.69,38.84,87.72,12.11
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,3652168,818912,169,3990,587158,47090,113281,5319,926.48,48.03,36.48,86.24,13.64
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,1252319,110416,61,21404,183846,49141,90461,2653,876.12,58.62,31.19,86.04,13.77
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,4032773,745546,98,5979,751975,87796,180651,10290,899.53,52.26,32.23,85.31,14.52
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,2669775,198033,64,1442,607672,43761,101378,4156,922.2,52.82,36.33,85.88,14.01
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1964620,244394,80,2045,565112,20522,31162,1841,938.68,49.16,36.82,86.81,13.01
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3047427,865090,1895,250046,553944,38414,57546,3495,909.19,44.71,37.58,87.23,12.65
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,5356075,439952,203,9069,920918,321307,546859,40692,896.52,59.26,32.23,85.8,13.97
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,4086453,990349,104,12461,649726,52358,74979,7719,901.89,44.65,34.07,87.05,12.71
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1989420,1255641,650,139490,390991,33688,86058,4170,921.08,40.81,35.02,87.36,11.42
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,2645415,300487,537,31650,549546,41659,114893,4594,917.61,60.81,31.25,86.11,13.76
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1629254,266620,8,6009,317249,21651,41342,1668,906.05,42.35,34.19,87.63,12.3
